rank,name,slug
1,Bitcoin,BTC
2,Ethereum,ETH
3,Solana,SOL
4,Cardano,ADA
5,XRP,XRP
6,FileCoin,FIL
7,Polkadot,DOT
8,BUSD,BUSD
9,Binance Coin,BNB
10,Uniswap Protocol Token,UNI
11,Cosmos,ATOM
12,Chainlink,LINK
13,Terra,LUNA
14,Avalanche,AVAX
15,dYdX,DYDX
16,FTX Token,FTT
17,Litecoin,LTC
18,Sushi,SUSHI
19,EOS,EOS
20,Okex,OKB
21,Tezos,XTZ
22,Tether,USDT
23,TRON,TRX
24,Algorand,ALGO
25,Bitcoin Cash,BCH
26,OMG Network,OMG
27,Dogecoin,DOGE
28,Ethereum Classic,ETC
29,Polygon,MATIC
30,Fantom,FTM
31,Celer Network,CELR
32,Celo,CELO
33,USD Coin,USDC
34,Curve DAO Token,CRV
35,Serum,SRM
36,Harmony,ONE
37,Huobi Token,HT
38,COTI,COTI
39,Internet Computer,ICP
40,Stellar,XLM
41,PancakeSwap,CAKE
42,Theta,THETA
43,BitTorrent,BTT
44,Monero,XMR
45,APENFT,NFT
46,VeChain,VET
47,IOS token,IOST
48,Aave,AAVE
49,Near,NEAR
50,Perpetual Protocol,PERP
51,Axie Infinity Shards,AXS
52,REN,REN
53,Bitcoin SV,BSV
54,Hedera Hashgraph,HBAR
55,The Graph,GRT
56,Elrond,EGLD
57,QTUM,QTUM
58,1inch,1INCH
59,Kava,KAVA
60,ZCash,ZEC
61,IoTeX Network,IOTX
62,NEO,NEO
63,Troy,TROY
64,IDEX,IDEX
65,Dash,DASH
66,Maker,MKR
67,Enzyme,MLN
68,Compound Governance Token,COMP
69,Injective Protocol,INJ
70,Kusama,KSM
71,IOTA,MIOTA
72,Chiliz,CHZ
73,0x,ZRX
74,Shiba Inu,SHIB
75,Synthetix,SNX
76,Decentraland,MANA
77,ICON Project,ICX
78,Thorchain,RUNE
79,JUST,JST
80,Ontology,ONT
81,yearn.finance,YFI
82,Swipe,SXP
83,Oasis Labs,ROSE
84,Fetch.AI,FET
85,Waves,WAVES
86,Storj,STORJ
87,Hegic,HEGIC
88,aelf,ELF
89,Enjin Coin,ENJ
90,Arweave,AR
91,Flow - Dapper Labs,FLOW
92,Zilliqa,ZIL
93,Theta Fuel,TFUEL
94,LTO Network,LTO
95,Siacoin,SC
96,bZx,BZRX
97,Swerve,SWRV
98,Horizen,ZEN
99,The Sandbox,SAND
100,PowerPool Concentrated Voting Power,CVP
101,NEM,XEM
102,Basic Attention Token,BAT
103,BakeryToken,BAKE
104,Civic,CVC
105,True USD,TUSD
106,Origin Protocol,OGN
107,Wrapped Bitcoin,WBTC
108,Holo,HOT
109,Chroma,CHR
110,Ravencoin,RVN
111,Loopring,LRC
112,Dent,DENT
113,ARPA Chain,ARPA
114,MOBOX,MBOX
115,Orion Protocol,ORN
116,Verge,XVG
117,DODO,DODO
118,Reserve Rights,RSR
119,Augur,REP
120,Lisk,LSK
121,Quant,QNT
122,Balancer,BAL
123,Klaytn,KLAY
124,Audius,AUDIO
125,V-ID,VIDT
126,Kyber Network,KNC
127,Venus,XVS
128,Nuls,NULS
129,Crypto.com Chain Token,CRO
130,iExec,RLC
131,Bitcoin Gold,BTG
132,FunFair,FUN
133,UMA,UMA
