symbol,name,ccu_slug,market_cap_rank
BTC,Bitcoin,bitcoin,1
ETH,Ethereum,ethereum,2
03-Mar,CompuMar,compumar,
ADA,Cardano,cardano,3
USDT,Tether,tether,4
BNB,Binance Coin,binance-coin,5
XRP,XRP,xrp,6
SOL,Solana,solana,7
DOGE,Dogecoin,dogecoin,8
DOT,Polkadot,polkadot-new,9
USDC,USD Coin,usd-coin,10
AVAX,Avalanche,avalanche,11
UNI,Uniswap,uniswap,13
LUNA2,Terra,terra-luna,12
BUSD,Binance USD,busd,14
LINK,ChainLink,chainlink,15
ALGO,Algorand,algorand,16
LTC,Litecoin,litecoin,17
FMF,Formosa Financial,FMF,
BCH,Bitcoin Cash,bitcoin-cash,18
WBTC,Wrapped Bitcoin,wrapped-bitcoin,19
ATOM,Cosmos,cosmos,20
ICP,Internet Computer,internet-computer,21
FTT2,FTX Token,ftx-token,22
FIL,Filecoin,filecoin,26
XLM,Stellar,stellar,23
DAI,Multi-Collateral Dai,multi-collateral-dai,24
ETC,Ethereum Classic,ethereum-classic,25
TRX,TRON,tron,29
VET,VeChain,vechain-thor,27
MATIC,Polygon,matic-network,30
XTZ,Tezos,tezos,28
THETA,Theta Token,theta,31
XEC,eCash,ecash,36
EGLD,Elrond eGold,elrond-egold,32
XMR,Monero,monero,34
CAKE,PancakeSwap,pancakeswap,33
OKB,OKB,okb,37
BCHA,Bitcoin Cash ABC,bitcoin-cash-abc-2,42
CRO2,Crypto.com Coin,crypto.com-coin,35
AXS,Axie Infinity,axie-infinity,39
AAVE,Aave,aave-token,38
QNT,Quant,quant,41
EOS,EOS,eos,40
HBAR,Hedera Hashgraph,hedera-hashgraph,43
NEAR,Near Protocol,near-protocol,44
GRT,The Graph,the-graph,46
IOT,IOTA,iota,45
FTM,Fantom,fantom,47
KSM,Kusama,kusama,49
SHIB,SHIBA INU,shiba-inu,48
NEO,NEO,neo,51
KLAY,Klaytn,klaytn,50
LEO,UNUS SED LEO,unus-sed-leo,52
UST,TerraUSD,uservice,53
WAVES,Waves,waves,54
BCHSV,Bitcoin SV,bitcoin-sv,56
MKR,Maker,maker,55
CEL,Celsius Network,celsius,57
STETH2,Lido Staked Ether,lido-staked-ether,59
PRG,Paragon,paragon,1562
BTT,BitTorrent,bittorrent,58
COMP,Compound,compound,60
CELO,Celo,celo,61
HNT4,Helium,helium-hotspot,63
XDC,XinFin Network,xfin-token,71
HBTC,Huobi BTC,huobi-btc,64
HARMONY,Harmony,harmony,62
RUNE,THORChain,thorchain,67
DASH,Dash,dash,65
AMP2,Amp,amp,66
GMT,Mercury Protocol,mercury-protocol,
CHZ,Chiliz,chiliz,70
TGC,Tigercoin,TGC,
BEE,The Bee Token,bee-token,1662
STX3,Stacks,blockstack,68
DCR,Decred,decred,69
AR,Arweave,arweave,73
TUSD,TrueUSD,true-usd,74
TFUEL,Theta Fuel,theta-fuel,72
ZEC,Zcash,zcash,76
HOT2,Holo,holo,75
YUP2,Crowdholding,crowdholding,
XEM,NEM,nem,77
MANA,Decentraland,decentraland,78
OMG,OMG Network,omg-network,80
HT,Huobi Token,huobi-token,79
SNX,Synthetix,synthetix-network-token,81
DYDX,dYdX,dydx-token,92
CRV,Curve DAO Token,curve,91
PERP,Perpetual Protocol,usd-perpetual,88
ENJ,Enjin Coin,enjin-coin,82
YFI,yearn.finance,yearn.finance,83
MINA,Mina Protocol,mina-token,89
ICX,ICON,icon,84
SRM,Serum,serum,86
IOST,IOStoken,iostoken,87
FLOW,Flow,blobflow,90
CELR,Celer Network,celer-network,85
ZIL,Zilliqa,zilliqa,94
RVN,Ravencoin,ravencoin,93
QTUM,Qtum,qtum,97
BAT,Basic Attention Token,basic-attention-token,95
PAX,Pax Dollar,paxos-standard,96
OMI,ECOMI,ecomi,100
BTG,Bitcoin Gold,bitcoin-gold,98
XSUSHI,xSUSHI,xsushi,101
FIL2,Filecoin IOU,FIL,
NXM,Nexus Mutual,nexus-mutual,102
TEL,Telcoin,telcoin,99
AUDIO,Audius,audius,104
KCS,KuCoin Token,kucoin-shares,103
NEXO,Nexo,nexo,106
BNT,Bancor Network Token,bancor,105
MDX3,Mdex,mdex,112
SAFEMOON,SafeMoon,safemoon,107
ZRX,0x,0x,108
RAY,Raydium,raydium,113
RENBTC,renBTC,renbtc,110
SC,Siacoin,siacoin,109
LUSD,Liquity USD,liquity-usd,111
ONT,Ontology,ontology,115
REN,Ren,ren,118
DGB,DigiByte,digibyte,116
VGX,Voyager Token,voyagertoken,117
