,symbol,display_symbol,name,aliases,shortname,last_price_usd,market_cap_rank,volume_rank,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_3Y_percent,price_change_5Y_percent,price_change_ALL_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,growth_all_time,ccu_slug,image_hash,market_cap_usd,categories
0,BTC,BTC,Bitcoin,,bitcoin,43438.0,1.0,2.0,-0.59,0.0,-0.27,-9.07,31.62,-23.83,313.13,570.28,7073.91,66317500.0,59.23,47037472768.0,true,2010-08-16 00:00:00,18827612.0,1632745846,,true,true,1970-01-01 00:01:10.794600000,bitcoin,,817834772147.0,"[1, 8]"
1,ETH,ETH,Ethereum,,ethereum,3079.7,2.0,3.0,-0.6900000000000001,2.04,1.35,-2.8,62.43,74.74,807.05,1323.64,23440.6,89165.4,323.93,28505956352.0,true,2015-08-07 14:55:00,117695168.0,1632745846,2014-08-31 23:59:00,true,true,1970-01-01 00:01:32.549100000,ethereum,,362465773581.0,[1]
2,MAR3,MAR,CompuMar,,compumar,3.38,,,0.0,0.0,0.0,0.0,0.0,,,,,-56.58,0.0,0.0,not_trading,2021-05-10 13:55:00,50000000000.0,1625530095,,true,true,,compumar,,169000000000.0,"[6, 20]"
3,ADA,ADA,Cardano,,cardano,2.21,3.0,6.0,-0.62,-3.46,8.41,-17.52,72.53,83.96,2541.85,2656.84,9801.3,6896.37,1142.46,2941707264.0,true,2017-10-01 20:45:00,31463134114.0,1632745846,2017-01-01 23:59:00,true,true,1970-01-01 00:00:04.886280000,cardano,,69542494102.0,[2]
4,USDT,USDT,Tether,,tether,1.000433333333333,4.0,1.0,-0.01,-0.02,0.04,0.02,0.02,0.03,-0.02,0.04,0.1,0.05,0.15,95335407616.0,true,2017-08-06 00:09:09,62796735031.0,1632745847,,true,true,1970-01-01 00:00:00.999810000,tether,,62823946950.0,"[4, 21, 22, 26]"
5,BNB,BNB,Binance Coin,,binance-coin,347.38,5.0,9.0,-0.66,0.03,-5.4,-28.73,23.23,24.8,1349.35,3464.74,20146.9,30535.2,842.34,2673133312.0,true,2017-08-16 00:09:21,168137036.0,1632745846,2017-07-21 23:59:00,true,true,,binance-coin,,58406619694.0,"[0, 6, 16]"
6,XRP,XRP,XRP,ripple,ripple,0.9558411211404171,6.0,8.0,-0.87,0.36,4.88,-15.39,53.88,70.26,313.44,90.48,11432.9,16172.8,302.29,3041949952.0,true,2013-08-04 18:55:00,46135372183.0,1632745847,,true,true,1970-01-01 00:00:34.776000000,xrp,,44098085872.0,[]
7,SOL,SOL,Solana,,solana,145.51,7.0,7.0,-0.73,6.02,6.4,93.87,379.33,676.56,4754.49,17546.0,17546.0,21839.0,9535.8,5051208192.0,true,2020-04-09 08:45:00,297417542.0,1632745847,2020-03-24 11:00:00,true,true,1970-01-01 00:00:01.785960000,solana,,43277523954.0,[21]
8,DOGE,DOGE,Dogecoin,,dogecoin,0.205321624994924,8.0,33.0,-0.36,-1.12,-0.4,-27.16,-17.29,273.68,7682.94,3467.88,89719.8,37675.4,4407.27,575657984.0,true,2013-12-15 14:50:00,131460565926.0,1632745846,,true,true,1970-01-01 00:00:06.291980000,dogecoin,,26991697019.0,[1]
9,DOT,DOT,Polkadot,,polkadot,28.89,9.0,15.0,-0.9500000000000001,-2.67,0.93,14.43,96.95,-13.56,581.5,696.94,696.94,883.9,337.27,1573597568.0,true,2020-08-21 10:00:00,897658000.0,1632745846,2017-10-27 23:59:00,true,true,,polkadot-new,,25931993133.0,[]
10,USDC,USDC,USD Coin,,usd-coin,0.9999500000000001,10.0,12.0,-0.01,0.0,0.0,-0.01,-0.01,-0.03,0.08,-1.53,-1.53,-0.54,-0.06,2351946496.0,true,2018-10-08 12:10:00,21100000000.0,1632745847,,true,true,1970-01-01 00:00:00.984354000,usd-coin,,21098945000.0,"[4, 26]"
11,AVAX,AVAX,Avalanche,,avalanche,70.01,11.0,17.0,-0.12,2.88,17.62,49.11,563.64,139.4,1536.24,1536.24,1536.24,1105.62,2301.67,1943076864.0,true,2020-09-22 13:10:00,220286577.0,1632745846,,true,true,,avalanche,,15422990201.0,[25]
12,UNI,UNI,Uniswap,,uniswap,24.15,13.0,18.0,-1.01,3.24,13.08,-8.66,45.93,-15.29,402.84,356.77,356.77,522.1,543.83,2620225024.0,true,2020-09-17 07:15:00,611643724.0,1632745847,,true,true,,uniswap,,14771073606.0,"[3, 6, 14, 15]"
13,LUNA2,LUNA,Terra,,luna,36.52,12.0,39.0,-2.04,-0.27,28.58,24.79,598.59,94.61,12057.62,17383.9,17383.9,17341.4,5577.29,584016768.0,true,2020-07-09 08:05:00,400012259.0,1632745846,,true,true,1970-01-01 00:00:00.000000000,terra-luna,,14607167659.0,[3]
14,BUSD,BUSD,Binance USD,,binance-usd,1.000374807010688,14.0,5.0,0.0,-0.06,-0.14,0.01,0.01,0.03,-0.18,0.03,0.03,-0.05,-0.05,6820520448.0,true,2019-09-19 10:40:00,13689325309.0,1632745846,,true,true,1970-01-01 00:00:01.002860000,busd,,13694456164.0,"[4, 15]"
15,LINK,LINK,ChainLink,,chainlink,24.08,15.0,11.0,-0.91,-4.19,0.24,-5.67,38.16,-12.63,166.16,7137.07,14698.9,15494.9,102.11,1653737088.0,true,2017-09-20 21:00:00,455009554.0,1632745846,2017-09-19 00:00:00,true,true,1970-01-01 00:00:50.303000000,chainlink,,10958086091.0,"[3, 15]"
16,ALGO,ALGO,Algorand,,algorand,1.809918402589469,16.0,37.0,0.18,5.0,9.98,76.48,123.06,41.56,517.23,-33.94,-33.94,197.65,433.6,827283456.0,true,2019-06-19 09:40:00,5896679512.0,1632745846,2019-06-19 17:30:00,true,true,1970-01-01 00:00:00.445608000,algorand,,10672508763.0,"[2, 26]"
17,LTC,LTC,Litecoin,,litecoin,151.84,17.0,21.0,-0.52,-0.05,-3.16,-12.1,18.11,-20.43,240.79,160.85,3851.4,3423.52,18.16,1431159552.0,true,2013-04-28 18:50:00,66752615.0,1632745846,,true,true,1970-01-01 00:00:10.387900000,litecoin,,10135436701.0,[1]
18,FMF,FMF,Formosa Financial,,formosa-financial,0.002488882048055,,,0.0,0.0,0.0,0.0,0.0,0.0,4486968.3,,,,0.0,0.0,not_trading_anymore,2018-08-02 22:00:00,1785567099.0,1607461807,,true,true,,FMF,,4444066.0,[]
19,BCH,BCH,Bitcoin Cash,,bitcoin-cash,504.27,18.0,32.0,-0.6000000000000001,-2.24,-8.16,-19.69,8.46,-1.6800000000000002,135.56,3.49,2.84,-4.12,42.9,843226944.0,true,2017-07-23 16:35:00,18856988.0,1632745846,,true,true,1970-01-01 00:00:00.641909000,bitcoin-cash,,9509002025.0,"[1, 19]"
